PartitionKey,RowKey,source,title,description,instructor,level,role,product,duration,rating_count,rating_average,url
ms-learn,64c3e44a-6222-4b8e-9f22-8963c2d17cb3,MS Learn,Deploy social messaging channels in Omnichannel for Dynamics 365 Customer Service,Learn how to deploy social messaging channels in Omnichannel for Dynamics 365 Customer Service.,,intermediate,business-user,dynamics-customer-service,27,7,4.71,https://docs.microsoft.com/en-us/learn/modules/social-channels/?WT.mc_id=api_CatalogApi
ms-learn,9db1e88f-9c8b-49c1-9ccc-8ce07beefcd9,MS Learn,Process VAT in documents and journals in Dynamics 365 Business Central,Do you want to learn how to process VAT in Business Central? This module will explain what you will need to process transactions with VAT.,,intermediate,business-user,dynamics-365,25,45,4.82,https://docs.microsoft.com/en-us/learn/modules/process-vat-dynamics-365-business-central/?WT.mc_id=api_CatalogApi
ms-learn,1e9198af-2a07-4fec-8501-40095d3a09c2,MS Learn,Process VAT in documents and journals in Dynamics 365 Business Central,Do you want to learn how to process VAT in Business Central? This module will explain what you will need to process transactions with VAT.,,intermediate,business-user,dynamics-business-central,25,45,4.82,https://docs.microsoft.com/en-us/learn/modules/process-vat-dynamics-365-business-central/?WT.mc_id=api_CatalogApi
ms-learn,2ea40d58-1ab9-4a13-b258-64b9be8d119f,MS Learn,Process VAT in documents and journals in Dynamics 365 Business Central,Do you want to learn how to process VAT in Business Central? This module will explain what you will need to process transactions with VAT.,,intermediate,functional-consultant,dynamics-365,25,45,4.82,https://docs.microsoft.com/en-us/learn/modules/process-vat-dynamics-365-business-central/?WT.mc_id=api_CatalogApi
ms-learn,72fe5236-44f8-409e-b46a-828bda56f7d2,MS Learn,Process VAT in documents and journals in Dynamics 365 Business Central,Do you want to learn how to process VAT in Business Central? This module will explain what you will need to process transactions with VAT.,,intermediate,functional-consultant,dynamics-business-central,25,45,4.82,https://docs.microsoft.com/en-us/learn/modules/process-vat-dynamics-365-business-central/?WT.mc_id=api_CatalogApi
ms-learn,670c1ebc-b65f-4996-851f-38f58b13690a,MS Learn,Work with pages in Dynamics 365 Business Central,Do you want to create new pages in Business Central that have the same appearance as existing pages? This module focuses on how to create new pages. It will also show you how to enable users to search for specific pages.,,intermediate,developer,dynamics-365,85,45,4.76,https://docs.microsoft.com/en-us/learn/modules/work-with-pages/?WT.mc_id=api_CatalogApi
ms-learn,3c670c2d-3016-4c55-8a63-c02cbcca2625,MS Learn,Work with pages in Dynamics 365 Business Central,Do you want to create new pages in Business Central that have the same appearance as existing pages? This module focuses on how to create new pages. It will also show you how to enable users to search for specific pages.,,intermediate,developer,dynamics-business-central,85,45,4.76,https://docs.microsoft.com/en-us/learn/modules/work-with-pages/?WT.mc_id=api_CatalogApi
ms-learn,09bd446d-933c-4fd1-a7aa-a12c3eff2c67,MS Learn,Budget fixed assets in Dynamics 365 Business Central,"Do you want to know how to prepare a budgeted income statement, including details of future asset investments? This module demonstrates how to create budgeted assets and calculate future depreciations and disposals.",,intermediate,functional-consultant,dynamics-365,42,12,5.0,https://docs.microsoft.com/en-us/learn/modules/budget-fixed-assets/?WT.mc_id=api_CatalogApi
ms-learn,9575c8c9-d877-46b6-9352-c5d28d8216f3,MS Learn,Budget fixed assets in Dynamics 365 Business Central,"Do you want to know how to prepare a budgeted income statement, including details of future asset investments? This module demonstrates how to create budgeted assets and calculate future depreciations and disposals.",,intermediate,functional-consultant,dynamics-business-central,42,12,5.0,https://docs.microsoft.com/en-us/learn/modules/budget-fixed-assets/?WT.mc_id=api_CatalogApi
ms-learn,d2970c99-0bc4-4287-b5ca-5b6d55c722e0,MS Learn,Budget fixed assets in Dynamics 365 Business Central,"Do you want to know how to prepare a budgeted income statement, including details of future asset investments? This module demonstrates how to create budgeted assets and calculate future depreciations and disposals.",,intermediate,business-user,dynamics-365,42,12,5.0,https://docs.microsoft.com/en-us/learn/modules/budget-fixed-assets/?WT.mc_id=api_CatalogApi
ms-learn,1092b9bc-ba30-403d-baca-cca19607e764,MS Learn,Budget fixed assets in Dynamics 365 Business Central,"Do you want to know how to prepare a budgeted income statement, including details of future asset investments? This module demonstrates how to create budgeted assets and calculate future depreciations and disposals.",,intermediate,business-user,dynamics-business-central,42,12,5.0,https://docs.microsoft.com/en-us/learn/modules/budget-fixed-assets/?WT.mc_id=api_CatalogApi
ms-learn,cd7a1ea0-2070-417f-ae8e-70da4de55d54,MS Learn,Explore accounts payable and accounts receivable in Microsoft Dynamics 365 Finance,Explore accounts payable and accounts receivable in Microsoft Dynamics 365 Finance,,beginner,business-owner,dynamics-365,27,8,4.5,https://docs.microsoft.com/en-us/learn/modules/explore-accounts-payable-accounts-receivable-microsoft/?WT.mc_id=api_CatalogApi
